Model,Dataset,Accuracy Mean,Accuracy Std,AUROC Mean,AUROC Std
Logistic Regression,Parkinson's Disease,0.8307692307692308,0.047557017925619,0.8255172413793105,0.05150298178566292
SVM (RBF),Parkinson's Disease,0.876923076923077,0.04971979340939826,0.8939463601532568,0.06298203167552831
Decision Tree,Parkinson's Disease,0.8358974358974359,0.06405126152203487,0.7919540229885056,0.09223480439520199
KNN,Parkinson's Disease,0.8923076923076924,0.041025641025641026,0.9668199233716477,0.006639969444803002
Random Forest (Ours),Parkinson's Disease,0.8871794871794872,0.038375973197681476,0.9493614303959133,0.019728886689801682
Logistic Regression,Respiratory Abnormality,0.6386035710900647,0.0045366651978300645,0.686473581688636,0.014307975090904866
SVM (RBF),Respiratory Abnormality,0.6933916971062359,0.011519171254570136,0.7533878957769751,0.007451165042274267
Decision Tree,Respiratory Abnormality,0.5895302463600108,0.022533721022236868,0.5887486132261663,0.02268886591991252
KNN,Respiratory Abnormality,0.67697784290995,0.01957777349006287,0.7310888124575193,0.01879696329607522
Random Forest (Ours),Respiratory Abnormality,0.6935808963450645,0.013829281615105927,0.7554509586474907,0.012417811059731538
Logistic Regression,Psychological Stress,0.8021148171331485,0.027102577349463582,0.8594421539230386,0.024097757946388337
SVM (RBF),Psychological Stress,0.830483770008048,0.01981450050042525,0.9110407296351823,0.02134928254720757
Decision Tree,Psychological Stress,0.7755566484843065,0.02343504018776164,0.7737549975012494,0.02419998004715131
KNN,Psychological Stress,0.8494098184744703,0.02203007735659976,0.9140811625437282,0.020241263845850475
Random Forest (Ours),Psychological Stress,0.8361799159438433,0.026195080409094386,0.9183773738130935,0.017334132811848684
Logistic Regression,Depression Indicators,0.7017392470714477,0.03205496327532794,0.7587220452273863,0.03020234060108426
SVM (RBF),Depression Indicators,0.7802915139050344,0.043654958803355785,0.8493303348325837,0.02767534368229963
Decision Tree,Depression Indicators,0.6884646338191899,0.022442010379144853,0.6871854697651174,0.025283082772313305
KNN,Depression Indicators,0.7812214969149602,0.023137293444994687,0.8554392335082459,0.024211083012957522
Random Forest (Ours),Depression Indicators,0.7632656711079318,0.02945008587297316,0.855486553598201,0.0320041650660568
